active_collision_pair,frame_idx,frame_root_angular_budget_usage,frame_root_z_budget_usage,frame_velocity_budget_usage_max,left_anchor_error_xy,left_contact_confidence,left_contact_phase,left_contact_slack,left_elbow_branch_sign,left_foot_vxy,left_heel_height,left_liftoff_probability,left_load_phase,left_lock_weight,left_swing_clearance_error,left_toe_height,max_joint_delta,max_joint_velocity_ratio,min_self_collision_distance,qp_resolve_count,qp_status,right_anchor_error_xy,right_contact_confidence,right_contact_phase,right_contact_slack,right_elbow_branch_sign,right_foot_vxy,right_heel_height,right_liftoff_probability,right_load_phase,right_lock_weight,right_swing_clearance_error,right_toe_height,root_ddz,root_dz,root_z,safety_backtracked,solver_mode,stage_a_high_priority_error,stage_a_iterations,stage_b_detail_error,stage_b_high_priority_error,stage_b_iterations,stage_b_rejected,stage_c_iterations,stage_c_triggered
v3_pelvis_proxy:v3_left_hand_proxy,0,1.0,1.0000000000000009,1.0,0.0,0.2137109980488841,AIR,0.0,-1,0.0,0.08718393923835215,0.022013893831169685,UNLOADED,0.04180127736545653,0.0,0.11517857398594188,0.1884955592153876,1.0,0.04323513559528051,0,ok,0.0,0.16728607742243468,AIR,0.0,1,0.0,0.096012683993177,0.007812412747523335,UNLOADED,0.0331958339077393,0.0,0.09012355826942724,0.0,-0.0050000000000000044,0.745,0,staged_v3,0.6281241601480194,2,1.1461185172676902,0.6044196365880828,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,1,1.0,1.0000000000000009,1.0,0.0,0.354157558502773,AIR,0.0,-1,0.01660801680461744,0.08936029324243433,0.03857098899389263,UNLOADED,0.10154049213469696,0.0,0.12677021384727438,0.1884955592153876,1.0,0.04300657979287992,0,ok,0.0,0.2852936491389896,AIR,0.0,1,0.009583583889012003,0.08414746099417439,0.013748107402841287,UNLOADED,0.08283094740804708,0.0,0.09391821899137637,0.0,-0.0050000000000000044,0.74,0,staged_v3,0.5071508662762205,2,1.1222559715808291,0.5011299792535749,2,0,0,0
v3_pelvis_proxy:v3_right_hand_proxy,2,1.0000000000000002,1.0000000000000009,0.9999999999999999,0.0,0.44614652684400236,FLAT,0.0,-1,0.029388139038202515,0.08974928634994714,0.05082069183550904,UNLOADED,0.1659270040457137,0.0,0.12240975558631685,0.18849555921538758,0.9999999999999999,0.04268704772951455,0,ok,0.0,0.3646452659419228,FLAT,0.0,-1,0.01865153098306993,0.07143698843555067,0.018636886737460903,UNLOADED,0.13783464061068004,0.0,0.09646875496446507,0.0,-0.0050000000000000044,0.735,0,staged_v3,0.41830834030364694,2,1.0389794361505698,0.41707519203604954,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,3,0.9999999999999994,1.0000000000000009,0.4001263536561386,0.0,0.5008750214034655,FLAT,0.0,-1,0.03818687995578734,0.08734664353028371,0.06266237942470433,UNLOADED,0.2266394033901559,0.0,0.11369471891455842,0.07542204078922779,0.4001263536561386,0.05257197553185679,0,ok,0.0,0.41707680316835805,FLAT,0.0,-1,0.024620330714477712,0.062316008124645744,0.02611280036224415,UNLOADED,0.19150486446284398,0.0,0.09574148372616961,0.0,-0.0050000000000000044,0.73,0,staged_v3,0.33797788582230276,2,0.9367839120554915,0.3390668929155921,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,4,0.9999999999999999,1.0000000000000009,0.5014753574239371,0.0,0.5335470951441996,FLAT,0.0,-1,0.041267985992407163,0.0815373686392467,0.07659680966855856,UNLOADED,0.27984734068177014,0.0,0.10659317869976451,0.09452587793036141,0.5014753574239371,0.05561141021691468,0,ok,0.0,0.4538989713595759,FLAT,0.0,-1,0.026770293606619915,0.055863680735196417,0.03233437047538579,UNLOADED,0.24104837834252296,0.0,0.09344063086638735,0.0,-0.0050000000000000044,0.725,0,staged_v3,0.26353750032784534,2,0.8429195561592112,0.26455546159158866,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,5,0.9148707016963347,1.0000000000000009,0.6151530137516407,0.0,0.5468980963050363,FLAT,0.0,-1,0.05627297898534774,0.07450585896471196,0.09759547808287286,SUPPORT,0.3225825355721228,0.0,0.10228904983788861,0.11595361133014653,0.6151530137516407,0.05771072064933214,0,ok,0.0,0.4867259323966775,FLAT,0.0,-1,0.026021619462451292,0.05144132917273925,0.03906656882037626,SUPPORT,0.28638094672642656,0.0,0.09076329181362872,0.0,-0.0050000000000000044,0.72,0,staged_v3,0.2095976280663528,2,0.8339833643160984,0.19619265826710275,2,0,0,0
v3_torso_proxy:v3_right_forearm_proxy,6,0.4173263731032594,1.0000000000000009,0.6741356121390507,0.016233941066482037,0.5576417756484262,FLAT,0.0,-1,0.053789943768236245,0.0678327810195547,0.16886932276370295,SUPPORT,0.3507606657876838,0.0,0.09951370287641108,0.127071569197158,0.6741356121390507,0.05800033380756357,0,ok,0.0,0.5131719915130637,FLAT,0.0,-1,0.024624397664259036,0.048825192595326035,0.07419724010685466,SUPPORT,0.32412396658967246,0.0,0.08791798619876012,0.0,-0.0050000000000000044,0.715,0,staged_v3,0.16908258508138324,2,0.8728106089419112,0.1602642092746884,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,7,0.26021942234407824,1.0000000000000009,0.5978263896918263,0.032470266002923666,0.5658539866473604,FLAT,0.0,-1,0.05342844494200834,0.0621316838705472,0.23231645485641186,SUPPORT,0.37060853263014704,0.0,0.09722443450649121,0.11268761963867704,0.5978263896918263,0.058286426096703065,0,ok,0.021518057925060723,0.5183342776600539,FLAT,0.0,-1,0.037060455682401815,0.047748696706905194,0.10147920378185843,SUPPORT,0.35244599884579136,0.0,0.08569003681858273,0.0,-0.0050000000000000044,0.71,0,staged_v3,0.1411596319160785,2,0.9072019386094651,0.1357013452046797,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,8,0.10611304799429931,1.0000000000000009,0.4748230991084923,0.04921819912892019,0.6067087508104666,FLAT,0.0,-1,0.03153197527024496,0.05715101596605468,0.28102941014203225,SUPPORT,0.3864868261041176,0.0,0.09546922490272183,0.08950204559483867,0.4748230991084923,0.05566118110577645,0,ok,0.04088214837934541,0.5171060313765067,FLAT,0.0,-1,0.04063362510882876,0.04766781220748077,0.12232226675136373,SUPPORT,0.3719567990766331,0.0,0.08401486383967013,0.0,-0.0050000000000000044,0.705,0,staged_v3,0.1235065752702883,2,0.9345411560765889,0.1214340287499998,2,0,0,0
v3_torso_proxy:v3_left_forearm_proxy,9,0.08011877798355062,1.0000000000000009,0.3714404797770578,0.06621803079915992,0.6479154407981548,FLAT,0.0,-1,0.022603474827286644,0.05246335967924505,0.31645181717540705,SUPPORT,0.3991894608832941,0.0,0.09393903736497144,0.07001488095080838,0.3714404797770578,0.05205224084282899,0,ok,0.0590402592366712,0.5082089022598962,FLAT,0.0,-1,0.04466480246148051,0.047655232578056095,0.13806828831435025,SUPPORT,0.3875654392613065,0.0,0.08256311924581483,0.0,-0.0050000000000000044,0.7,0,staged_v3,0.11531782769902166,2,0.9549542704672747,0.11590506692059939,2,0,0,0
